SIST_CRIA;NIV_TERR;COD_TERR;NOM_TERR;CL_GAL;NOM_CL_GAL;E_CRIA_GAL;E_TEM_GAL;E_GAL_VEND;E_OVOS_PROD;E_OVOS_VEND;E_SUBS;E_COMERC;E_RECEBE_ORI;E_ORI_GOV;E_ORI_PROPRIA;E_ORI_COOP;E_ORI_EMP_INT;E_ORI_EMP_PRIV;E_ORI_ONG;E_ORI_SIST_S;E_ORI_OUTRA;E_GAL_ENG;E_GAL_GALOS;E_GAL_POED;E_GAL_MATR;E_ASSOC_COOP;E_FINANC;E_FINANC_COOP;E_FINANC_INTEG;E_DAP;E_AGRIFAM;E_N_AGRIFAM;E_PRODUTOR;E_COOPERATIVA;E_SA_LDTA;E_CNPJ;GAL_TOTAL;GAL_ENG;GAL_GALOS;GAL_POED;GAL_MATR;GAL_VEND;V_GAL_VEND;Q_DZ_PROD;Q_DZ_VEND;V_Q_DZ_PROD;V_Q_DZ_VEND;A_TOTAL;A_PAST_PLANT;A_LAV_PERM;A_LAV_TEMP;A_APPRL;VTP_AGRO;RECT_AGRO;N_TRAB_TOTAL;N_TRAB_LACOS
2-SIST_POI;GR;5;Centro-Oeste;10;Total;1.898;1.898;1.366;1.622;1.065;368;1.530;604;230;267;70;54;13;1;11;19;1.821;1.838;1.404;1.898;276;329;35;3;439;1.242;656;1.295;;20;37;8.168.726;966.406;520.145;540.441;6.141.734;37.415.778;143.481.925;39.080.905;29.593.730;168.106.970;109.822.761;858.461;394.398;2.800;59.738;275.469;884.009.423;802.492.139;10.748;6.218
3-SIST_PFC;GR;1;Norte;0;Sem galinaceos em 30.09.2017;497;;497;;;142;355;87;70;7;4;3;1;;;7;;;;;21;48;;;75;413;84;355;1;;1;;;;;;2.073.609;10.506.313;;;;;23.811;6.961;626;481;7.886;22.173.768;18.873.777;1.694;1.447
3-SIST_PFC;GR;1;Norte;1;De 1 a 100;20.126;20.126;20.126;;;5.701;14.425;1.920;1.501;249;70;32;17;36;51;67;;;;;572;1.821;51;3;3.180;17.268;2.858;13.894;;1;25;892.672;;;;;664.350;14.743.938;;;;;959.478;299.150;31.538;35.690;254.424;411.475.275;304.371.355;71.677;61.101
3-SIST_PFC;GR;1;Norte;2;De 101 a 200;1.799;1.799;1.799;;;344;1.455;318;214;72;10;7;5;1;7;16;;;;;103;224;12;;416;1.438;361;1.274;2;;4;278.961;;;;;232.644;5.037.231;;;;;134.750;53.096;3.517;4.831;34.523;71.360.323;60.964.536;6.679;5.043
3-SIST_PFC;GR;1;Norte;3;De 201 a 500;440;440;440;;;61;379;137;96;28;1;7;2;1;3;7;430;230;175;;31;58;1;;109;352;88;314;;;3;151.456;125.471;9.130;16.855;;226.666;4.518.212;;;;;25.542;6.728;1.195;733;10.392;19.346.118;15.761.649;1.797;1.370
3-SIST_PFC;GR;1;Norte;4;De 501 a 1.000;110;110;110;;;8;102;30;23;4;1;;1;;;4;108;34;19;;8;24;1;;35;85;25;74;1;;4;80.755;73.676;X;2.382;;169.862;3.392.820;;;;;5.304;1.654;124;128;1.817;6.345.489;6.067.836;413;278
3-SIST_PFC;GR;1;Norte;5;De 1.001 a 5.000;93;93;93;;;4;89;38;14;13;2;7;;;1;1;87;14;17;;12;14;1;;21;73;20;69;;2;3;208.225;186.184;6.634;15.407;;1.055.288;6.061.055;;;;;5.830;1.924;299;110;2.321;9.613.683;9.305.295;320;214
3-SIST_PFC;GR;1;Norte;6;De 5.001 a 10.000;15;15;15;;;2;13;4;3;;;2;2;;;;15;4;1;;3;3;;;4;11;4;11;;;;114.100;108.175;5.900;X;;368.340;2.335.925;;;;;781;313;40;13;100;3.015.808;2.973.576;62;45
3-SIST_PFC;GR;1;Norte;7;De 10.001 a 50.000;126;126;126;;;9;117;77;19;22;5;35;4;;1;4;126;4;1;;27;17;;1;35;83;43;98;;4;5;3.102.355;3.077.733;24.500;X;;16.225.890;115.981.348;;;;;8.107;3.095;239;136;2.041;125.147.632;124.502.318;626;302
3-SIST_PFC;GR;1;Norte;8;De 50.001 a 100.000;47;47;47;;;;47;35;2;14;;22;1;;;;47;;1;;5;6;;1;8;14;33;39;;;3;3.316.400;3.266.400;;X;;13.270.100;44.051.981;;;;;3.656;1.023;251;29;939;45.680.622;45.661.066;261;93
3-SIST_PFC;GR;1;Norte;9;De 100.001 e mais;31;31;31;;;;31;28;2;15;;8;2;;;2;31;1;;;2;4;;;2;5;26;18;1;6;8;18.128.000;18.120.000;X;;;74.306.584;432.722.459;;;;;6.124;1.295;14;655;1.187;437.004.808;436.982.974;637;55
3-SIST_PFC;GR;1;Norte;10;Total;23.284;22.787;23.284;;;6.271;17.013;2.674;1.944;424;93;123;35;38;63;108;844;287;214;;784;2.219;66;5;3.885;19.742;3.542;16.146;5;13;56;26.272.924;24.957.639;58.861;84.791;;108.593.333;639.351.282;;;;;1.173.382;375.238;37.842;42.807;315.630;1.151.163.525;1.025.464.381;84.166;69.948
3-SIST_PFC;GR;2;Nordeste;0;Sem galinaceos em 30.09.2017;3.444;;3.444;;;2.023;1.421;394;230;56;35;52;4;15;6;27;;;;;35;490;14;;1.564;2.600;844;2.435;;6;26;;;;;;21.328.017;98.177.917;;;;;34.637;3.169;1.252;4.332;3.367;125.136.222;120.420.865;8.464;7.103
3-SIST_PFC;GR;2;Nordeste;1;De 1 a 100;41.830;41.830;41.830;;;23.779;18.051;3.187;2.066;543;420;48;30;113;33;266;;;;;551;5.963;158;6;14.909;34.871;6.959;30.821;1;3;71;1.362.161;;;;;1.720.396;30.318.991;;;;;636.827;111.201;18.147;70.789;103.197;343.801.707;256.765.645;115.272;98.860
3-SIST_PFC;GR;2;Nordeste;2;De 101 a 200;2.020;2.020;2.020;;;772;1.248;304;157;82;38;5;6;6;8;23;;;;;72;403;12;1;758;1.630;390;1.530;2;1;12;318.199;;;;;731.112;11.780.955;;;;;61.556;11.301;1.039;3.247;10.941;47.360.993;41.397.698;6.242;4.666
3-SIST_PFC;GR;2;Nordeste;3;De 201 a 500;678;678;678;;;164;514;173;75;64;15;8;4;2;8;11;668;142;66;;38;170;3;1;335;527;151;499;1;2;10;242.472;227.589;8.978;5.905;;1.002.225;14.226.744;;;;;23.901;2.038;306;1.835;4.338;30.731.866;29.096.734;2.116;1.486
3-SIST_PFC;GR;2;Nordeste;4;De 501 a 1.000;280;280;280;;;48;232;88;44;32;10;1;3;3;2;4;277;34;14;;21;73;;;142;222;58;206;;2;7;220.665;209.952;X;3.710;;1.290.377;15.547.848;;;;;6.576;912;81;528;884;21.761.885;20.947.557;939;628
3-SIST_PFC;GR;2;Nordeste;5;De 1.001 a 5.000;436;436;436;;;46;390;171;55;55;9;46;4;2;5;12;434;20;10;;29;132;3;;202;347;89;324;1;5;17;1.290.284;1.268.210;16.926;5.148;;4.763.183;37.668.541;;;;;8.846;1.252;260;944;1.646;50.146.562;48.702.668;1.509;902
3-SIST_PFC;GR;2;Nordeste;6;De 5.001 a 10.000;383;383;383;;;43;340;211;27;53;2;127;13;;1;10;382;7;2;;24;65;;;138;288;95;272;1;11;12;3.144.735;3.112.934;23.301;X;;13.230.150;39.686.693;;;;;7.610;686;94;772;1.303;49.994.671;48.850.053;1.312;779
3-SIST_PFC;GR;2;Nordeste;7;De 10.001 a 50.000;825;825;825;;;40;785;606;39;215;24;334;25;1;2;30;825;22;7;;53;134;2;4;207;428;397;605;6;55;68;19.967.047;19.711.332;201.705;54.010;;95.184.727;402.968.469;;;;;30.585;3.734;818;2.054;4.215;435.765.284;433.022.767;3.990;1.457
3-SIST_PFC;GR;2;Nordeste;8;De 50.001 a 100.000;172;172;172;;;1;171;137;3;63;8;44;11;;;18;172;4;;;12;28;;1;20;47;125;115;3;33;46;12.182.309;12.077.809;104.500;;;58.463.798;320.450.140;;;;;16.104;4.118;70;1.053;2.615;329.103.112;328.346.997;1.543;271
3-SIST_PFC;GR;2;Nordeste;9;De 100.001 e mais;121;121;121;;;;121;107;1;74;4;16;3;;1;16;121;2;2;;9;31;;;10;10;111;69;2;42;50;30.531.094;30.037.084;X;X;;183.863.214;959.027.790;;;;;19.388;5.649;2.061;279;2.917;977.123.641;975.505.565;4.206;154
3-SIST_PFC;GR;2;Nordeste;10;Total;50.189;46.745;50.189;;;26.916;23.273;5.378;2.697;1.237;565;681;103;142;66;417;2.879;231;101;;844;7.489;192;13;18.285;40.970;9.219;36.876;17;160;319;69.258.966;66.644.910;656.413;277.283;;381.577.199;1.929.854.088;;;;;846.031;144.060;24.128;85.831;135.424;2.410.925.942;2.303.056.550;145.593;116.306
